instruction,output
Please describe compare VAEs and GANs. Explain with clear definitions.,"VAEs maximize a tractable ELBO, producing smoother latent spaces — easier to train and encode/decode. GANs use adversarial training, producing sharper samples. VAEs suffer from blurry reconstructions; GANs suffer from training instability and mode collapse. Both are widely used generative models."
What is Mixture of Experts? Be concise.,MoE replaces the dense FFN in each Transformer block with multiple expert FFNs and a sparse routing mechanism that activates only the top-k experts per token. Increases model capacity without proportional compute increase. Mixtral-8x7B uses MoE and outperforms LLaMA-2 70B with less compute.
I need help understanding what is a diffusion model? Explain technically.,"Diffusion models (DDPM, Ho et al., 2020) define a forward process that adds Gaussian noise over T steps until x_T is approximately N(0,I), then train a neural network to reverse the process by predicting the noise at each step. Sampling involves iterative denoising. DDIM enables faster sampling."
"For a university exam, explain what are embedding models used in RAG? Provide a detailed answer.","Popular models: sentence-transformers all-MiniLM-L6-v2 (fast, 384 dims), E5-large (Microsoft), BGE-M3 (BAAI, multilingual), OpenAI text-embedding-3-large. Embeddings should ideally be fine-tuned for the retrieval domain."
"For a university exam, explain what is flash attention? Provide a detailed answer.","FlashAttention (Dao et al., 2022) is an IO-aware exact attention algorithm that tiles Q, K, V to avoid materializing the full N by N attention matrix in HBM. Reduces memory from O(N^2) to O(N) and is 2-4x faster due to reduced memory bandwidth. FlashAttention-2 further optimizes parallelism."
What are the assessment components of the course? Be concise and precise.,"Assessment breakdown: Assignment 1 (RAG System) 30%, Assignment 2 (Fine-Tuning) 30%, Viva 10%, Mid-semester exam 15%, End-semester exam 15%. Total 100%."
Give a technical explanation of what is full fine-tuning vs PEFT? Explain with clear definitions.,Full fine-tuning updates all model parameters — roughly 28 GB GPU memory for a 7B model at float16. PEFT (Parameter-Efficient Fine-Tuning) freezes most weights and trains a tiny subset. LoRA trains about 0.1-1% extra parameters achieving near full fine-tuning quality at a fraction of memory and compute cost.
What is the difference between BERT and GPT?,"BERT is encoder-only with bidirectional masked language modeling — reads the full sequence, best for understanding tasks (classification, NER, QA extraction). GPT is decoder-only with causal language modeling — generates tokens left to right, best for text generation and in-context learning."
Please describe what is cross-attention? For a Generative AI course student.,"Cross-attention allows the decoder to attend over encoder representations. Q comes from the decoder, K and V come from the encoder. This enables the decoder to look up relevant parts of the encoded input, fundamental in seq2seq tasks like translation."
"In simple terms, what is what is hallucination in LLMs? Be concise and precise.","Hallucination occurs when an LLM generates plausible-sounding but factually incorrect or unsupported content. Types: intrinsic (contradicts source), extrinsic (adds info not in source). Causes: spurious correlations, overconfidence, insufficient grounding. Mitigations: RAG, RLHF, self-consistency, factuality-focused fine-tuning."
What is ReAct prompting? Be concise and precise.,"ReAct (Yao et al., 2022) interleaves Thought (reasoning step), Action (tool call: search or calculator), and Observation (tool result) cycles. The LLM decides what to do, calls a tool, observes the result, and iterates. Grounding reasoning in tool outputs reduces hallucinations. ReAct is the foundation of LLM agent loops."
What is a diffusion model? Give examples where relevant.,"Diffusion models (DDPM, Ho et al., 2020) define a forward process that adds Gaussian noise over T steps until x_T is approximately N(0,I), then train a neural network to reverse the process by predicting the noise at each step. Sampling involves iterative denoising. DDIM enables faster sampling."
I need help understanding what is multi-head attention? Be concise and precise.,"Multi-head attention runs h attention heads in parallel, each with independent W_Q, W_K, W_V projections of dimension d_k = d_model/h. Outputs are concatenated then linearly projected: MultiHead(Q,K,V) = Concat(head_1,...,head_h)W_O. Different heads can attend to different positional and semantic patterns."
What is residual connection? Give examples.,"A residual (skip) connection adds the input of a sublayer directly to its output: y = F(x) + x. This allows gradients to flow directly through the network, mitigating vanishing gradients. Used in every Transformer block around the attention and FFN sublayers. Key to training very deep networks."
Please describe what is Groq? Give examples where relevant.,"Groq is an inference platform with custom LPU hardware delivering extremely fast token generation (200-400 tokens/second). Provides a free API tier supporting LLaMA-3, Mixtral, and Gemma models. Useful for rapid prototyping where low latency matters."
Explain the RAG pipeline step by step. Give examples where relevant.,"1. Ingestion: load and clean documents. 2. Chunking: split into overlapping chunks (e.g., 512 tokens, 50 overlap). 3. Embedding: encode chunks with a sentence-transformer model. 4. Storage: index in ChromaDB or FAISS. 5. Retrieval: embed the query, find top-k similar chunks via ANN. 6. Augmentation: inject retrieved chunks into the LLM prompt. 7. Generation: LLM produces a grounded answer."
"In simple terms, what is when is the assignment submission deadline? Provide a detailed answer.",The combined deadline for Assignment 1 and Assignment 2 is 5th April 2026 at 9:00 PM IST. Demonstrations and Vivas are scheduled after submission.
What is meant by what is Mixture of Experts?,MoE replaces the dense FFN in each Transformer block with multiple expert FFNs and a sparse routing mechanism that activates only the top-k experts per token. Increases model capacity without proportional compute increase. Mixtral-8x7B uses MoE and outperforms LLaMA-2 70B with less compute.
Please explain what is paged AdamW?,"Paged AdamW (bitsandbytes) keeps optimizer states in CPU RAM and pages them to GPU only when needed. Standard AdamW stores moment tensors on GPU (2x model size). Paged AdamW reduces peak GPU memory significantly, enabling larger batch sizes. Used with QLoRA."
